asset,q,c,log_likelihood,delta_ll_vs_zero,ks_statistic,pit_ks_pvalue,calibration_warning,mean_drift_var,mean_posterior_unc,n_obs,fallback_reason,timestamp
AVAV,2.3090317965690066e-08,0.6872022780560881,6419.819399465078,-3.047233463167686,0.021496942003225272,0.1550074065795456,False,2.405248233200368e-06,3.132028645956766e-06,2751,,2026-01-09T15:31:15Z
AXON,2.358016050057844e-08,0.6482574636022712,6364.70144122942,0.1387561742139951,0.01591661843419495,0.4837524856323032,False,3.2312359773397805e-06,3.4137657365679826e-06,2751,,2026-01-09T15:31:44Z
AZ,2.567276129533621e-07,0.8637737072586638,1912.7703247590628,-1.7485431584989328,0.033242445215913574,0.12730559779284134,False,2.1670856973590673e-05,2.757557435037627e-05,1236,,2026-01-09T15:31:58Z
BA,1.2246563050923838e-08,0.8717633175066454,7213.410483157213,1.4864539535137737,0.019891041756449512,0.22348407050830643,False,1.5890956575960348e-06,2.079125089448109e-06,2751,,2026-01-09T15:32:27Z
BAH,6.800180193311254e-09,0.6706140990616816,7878.436497022657,-2.403912210519593,0.02450530442217219,0.07226475064243632,False,7.274791569851874e-07,1.0202623613600364e-06,2751,,2026-01-09T15:32:57Z
BWXT,1.1834601229134181e-08,0.7271492085770453,7855.925763593711,4.179810426231597,0.017483261687169377,0.36550242032084934,False,1.9009552436057519e-06,1.5186486877388627e-06,2751,,2026-01-09T15:33:28Z
BYRN,2.377730693325986e-08,0.5794293036017618,5022.952129177031,-9.67276531206062,0.1619570019883717,1.6289402107558667e-63,True,2.867051076557252e-06,5.748730573306008e-06,2751,,2026-01-09T15:34:20Z
CACI,1.1187896392510956e-08,0.7997711137171765,7842.530762968729,-1.3747378516054596,0.01830733662388767,0.31132866118634817,False,1.234397152876694e-06,1.4487451369089094e-06,2751,,2026-01-09T15:34:49Z
CAE,4.8168916978649e-09,0.7408443275756026,7493.9035446599155,-3.3215655005496956,0.011024513158166549,0.8879440564226277,False,6.17488297047561e-07,1.2118885329148575e-06,2751,,2026-01-09T15:35:19Z
CDRE,3.2435188005952503e-08,0.5696367319944888,2432.561608134568,-0.110555589741125,0.017562091664731105,0.9034189975496667,False,3.175072813592555e-06,5.611272133650149e-06,1028,,2026-01-09T15:35:31Z
CODA,1.5468788063848572e-08,0.7638881762976153,5546.704625867416,-4.889939143328775,0.06115915985012499,2.1819134510044233e-09,True,1.804935824422822e-06,4.591264938788533e-06,2751,,2026-01-09T15:36:02Z
CVU,1.2942454959214578e-08,0.7293491948145322,5943.65253088117,-2.851751528830391,0.02169861974851961,0.147741437241787,False,2.051755734135191e-06,2.970755927448156e-06,2751,,2026-01-09T15:36:33Z
CW,4.877819682223708e-09,0.8690721771781683,7777.94546591568,3.8486725633547394,0.025473484209511787,0.055336396150169054,False,1.2286400633108178e-06,1.182416364487984e-06,2751,,2026-01-09T15:37:00Z
DCO,1.174360980149558e-08,0.7803222750811007,6641.842523470843,-4.141441361282887,0.022497904697277304,0.12159804642299077,False,8.462895034195298e-07,2.4600970311942622e-06,2751,,2026-01-09T15:37:30Z
DFSC,1.1560859615187598e-07,0.40525709035177276,1281.6984743315375,11.60628787569317,0.044634755644416435,0.01408293099224378,True,5.634407728478482e-05,1.708125674885235e-05,1236,,2026-01-09T15:37:54Z
DPRO,2.2346483304195193e-07,0.752033881366057,1759.6681299359202,8.938150789409065,0.022054662890259924,0.5769021326358773,False,4.5702165744000736e-05,2.6382909196259935e-05,1236,,2026-01-09T15:38:08Z
DRS,1.280343868264015e-08,0.7378310505399879,5835.713704905718,-1.2905796774866758,0.024796849244169805,0.06675654824735844,False,5.5875420829769215e-06,3.718882948379937e-06,2751,,2026-01-09T15:38:42Z
EH,4.909896603344928e-08,0.7774876756643347,2475.085238591214,-1.803371714482637,0.022112959876016136,0.4470942798379086,False,8.605881075381451e-06,1.0519218274925402e-05,1505,,2026-01-09T15:39:00Z
EMBJ,2.383336674694062e-08,0.8704713942081348,6435.720852390188,-4.6157284446280755,0.017350926727086408,0.3747389003772309,False,2.1663060525884036e-06,3.688532980489296e-06,2751,,2026-01-09T15:39:29Z
ESLT,1.5417731935266748e-08,0.7866234754972039,7739.856952443459,2.070049135897534,0.018434624722124593,0.30348000695500277,False,1.77205655065611e-06,1.877619290453165e-06,2751,,2026-01-09T15:39:57Z
EVEX,9.619854494211183e-08,0.8798717504519126,1660.9363269296161,-2.7866109404499184,0.026737673197199496,0.5317989703782817,False,4.876379927513217e-06,1.6512907983451664e-05,900,,2026-01-09T15:40:07Z
EVTL,1.4738800547461447e-07,0.8167104577899116,2623.407133910224,-11.612740079152445,0.043897339795108015,0.013868140999816848,True,2.1726127782782766e-05,1.392115171105668e-05,1282,,2026-01-09T15:40:21Z
FTAI,2.5856382625392188e-08,0.8054757861499247,6586.735605503167,3.2002943239276647,0.02327056184483317,0.11041342225224438,False,4.8616061913392565e-06,3.319716797045241e-06,2660,,2026-01-09T15:40:51Z
GD,5.748796006140724e-09,0.8519005385175147,8455.938596464472,-6.117934921037886,0.020367671098080242,0.20110315728106287,False,4.069408747968691e-07,9.639269303074233e-07,2751,,2026-01-09T15:41:20Z
GE,1.746093702495749e-08,0.8031402488635898,7401.181328412864,2.7654153034809497,0.015993249104845564,0.47754696005614505,False,2.639194854917623e-06,2.1411273052018835e-06,2751,,2026-01-09T15:41:49Z
GPUS,8.988152696225227e-07,0.6479609592145082,3477.243673938827,33.853602953977315,0.06119160182680239,2.1346586753991516e-09,True,0.00015193331064449291,5.277577578756858e-05,2751,,2026-01-09T15:42:24Z
HEI,9.618308706639716e-09,0.7934897276185268,7726.814941487811,-0.2077711708006973,0.023064405048325742,0.10546585912123962,False,1.2407775127923563e-06,1.5256427501052078e-06,2751,,2026-01-09T15:42:54Z
HII,5.117724916653372e-09,0.7330790372922376,7736.791552136383,-1.9639701647620313,0.017293570438999928,0.3787875153226615,False,1.3756599224161552e-06,1.0945118517751476e-06,2751,,2026-01-09T15:43:28Z
HOVR,2.818724527463658e-07,0.6854878010313114,1271.7662699402945,-17.28055216685675,0.07660196078238402,0.0006841289516135861,True,1.2704036118612355e-05,2.2473884104996122e-05,675,,2026-01-09T15:43:37Z
HWM,6.285728200486973e-09,0.7860370736826574,5857.895350840749,0.27803306766782043,0.027131822060142807,0.06752644610295888,False,1.90410421554659e-06,1.8788015872777004e-06,2289,,2026-01-09T15:44:02Z
HXL,5.33002817211129e-09,0.854339573578119,7456.780203328803,-5.0191900178606375,0.016123385506655485,0.4670987018580055,False,5.292319296996936e-07,1.2492513673220592e-06,2751,,2026-01-09T15:44:30Z
HON,2.698036361774337e-09,0.8617465301091596,8516.184045574288,-2.0102234448459058,0.01614868864864638,0.4650806482760689,False,4.595324065598685e-07,7.24407213895924e-07,2751,,2026-01-09T15:44:59Z
ISSC,2.3239977971353956e-08,0.6653823109366399,6009.188715756065,-5.280060019035773,0.01520105343254452,0.543410739908224,False,2.0409479673076943e-06,3.817668526994679e-06,2751,,2026-01-09T15:45:29Z
JOBY,7.652511317255785e-08,0.8556931464484862,2438.953597970933,-6.505830125700413,0.03072594443643295,0.17564467692463803,False,3.688809833279111e-06,9.278826203514658e-06,1277,,2026-01-09T15:45:43Z
KITT,5.447427932374662e-07,0.6587397761742513,2246.374029126938,-36.64993232441657,0.07015739346301852,4.0148650754614274e-05,True,6.912737592763293e-05,2.7605085914865883e-05,1093,,2026-01-09T15:45:56Z
KTOS,3.747844562937809e-08,0.7368986950170752,6133.169494313064,-1.8016095935900012,0.014232374145334181,0.6277751606732038,False,4.597348619545964e-06,4.648174190731267e-06,2751,,2026-01-09T15:46:28Z
LDOS,8.00190406674906e-09,0.6649672794601658,7902.5022177468545,0.7424136903127874,0.025675703253348003,0.05226768332834364,False,1.2352512790043436e-06,1.170326107296469e-06,2751,,2026-01-09T15:46:58Z
LHX,9.434947161539191e-09,0.8160832230562843,8144.056801333518,0.8711915713793132,0.025179958904686328,0.060065857662598754,False,1.1021179003780665e-06,1.3896555461411046e-06,2751,,2026-01-09T15:47:28Z
LMT,2.958912103804758e-09,0.7060699184680052,8538.12943320846,3.6543078580943984,0.022517051734458116,0.12114424130030477,False,7.241876784958433e-07,6.352051615440495e-07,2750,,2026-01-09T15:48:05Z
LOAR,2.9228902683328385e-07,0.8690126973499575,906.4574523747804,-3.9373989450222098,0.03280683726068344,0.7592939316915511,False,4.402306139990782e-06,1.8344150500110424e-05,408,,2026-01-09T15:48:08Z
